p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,337;11,064;6,548;720,5;687,75;22,75;136147,05;5645;19,7;11,65;953,32;26,48
2,33;11,218;6,57;720,5;687,75;22,75;136141,89;5645;19,7;11,65;953,38;26,41
2,323;11,151;6,548;720,5;688;22,75;136177,94;5645;19,49;11,52;953,33;26,48
2,33;11,398;6,566;720,75;688;22,75;136214;5645;19,49;11,52;953,33;26,48
2,33;11,119;6,552;720,75;688,25;22,75;136193,39;5645;19,49;11,52;953,34;26,46
2,33;11,046;6,555;721;688,5;22,75;136239,78;5645;19,49;11,52;953,34;26,46
2,327;11,231;6,566;721;688,5;23;136250,09;5645;19,49;11,52;953,35;26,51
2,327;10,93;6,566;721,25;689;23;136296,52;5613;19,91;11,7;953,3;26,46
2,327;10,919;6,559;721,25;689,25;23;136306,84;5613;19,91;11,7;953,32;26,51
2,327;11,082;6,559;719,75;689;22,75;136270,72;5613;19,91;11,7;953,32;26,46
2,33;11,045;6,563;720,5;689,25;22,75;136270,72;5613;19,91;11,7;953,35;26,48
2,328;11,398;6,555;720,5;688,75;22,75;136296,52;5613;19,91;11,7;953,33;26,46
2,33;11,101;6,563;720,5;689,25;23;136275,88;5613;19,49;11,46;953,32;26,48
2,334;11,107;6,559;720,5;689,25;22,5;136301,67;5613;19,49;11,46;953,33;26,48
2,333;11,42;6,57;720,75;689,25;23;136301,67;5613;19,49;11,46;953,3;26,48
2,33;10,958;6,566;720,75;689,25;22,75;136270,72;5613;19,49;11,46;953,32;26,48
2,333;11,257;6,566;720,5;689;23;136234,63;5613;19,49;11,46;953,29;26,48
2,333;11,02;6,566;720,25;688,75;23;136250,09;5613;19,49;11,46;953,26;26,48
2,331;11,457;6,566;720;689;23;136224,31;5609;19,7;11,57;953,3;26,41
2,33;11,341;6,552;720;689;22,75;136203,7;5609;19,7;11,57;953,31;26,46
2,329;11,367;6,555;720;688,75;22,75;136147,05;5609;19,7;11,57;953,32;26,46
2,33;11,105;6,57;716,25;688,5;22,5;136018,44;5609;19,7;11,57;953,29;26,46
2,326;11,083;6,555;718,25;688,25;23;136054,42;5609;19,7;11,57;953,3;26,46
2,326;11,226;6,563;716,5;688;21,5;136126,45;5609;19,49;11,45;953,33;26,46
2,33;11,094;6,559;720,5;688;22,75;136136,75;5609;19,49;11,45;953,3;26,48
2,33;10,967;6,559;720,5;688,25;22,75;136177,94;5609;19,49;11,45;953,29;26,48
2,327;10,958;6,559;720,25;688,25;22,75;136193,39;5609;19,49;11,45;953,3;26,51
2,337;11,486;6,563;720,25;688,5;22,5;136219,16;5609;19,49;11,45;953,33;26,46
2,33;10,968;6,563;720,25;688,5;22,5;136172,78;5609;19,49;11,45;953,28;26,46
2,333;11,085;6,552;720;688,75;22,75;136234,63;5613;19,49;11,46;953,34;26,48
2,333;11,051;6,563;720,25;688,75;22,75;136224,31;5613;19,49;11,46;953,3;26,46
2,337;10,925;6,563;720,25;688,75;23;136275,88;5613;19,49;11,46;953,3;26,48
2,333;11,13;6,559;720,25;688,75;23;136255,25;5613;19,49;11,46;953,28;26,46
2,334;11,167;6,555;720;688,75;23;136172,78;5613;19,49;11,46;953,31;26,46
2,334;10,874;6,563;720;688,75;23;136183,09;5613;19,7;11,58;953,33;26,46
2,334;10,804;6,552;720;688,75;22,75;136193,39;5613;19,7;11,58;953,38;26,48
2,334;11,046;6,57;719,5;688,5;22,75;136208,84;5613;19,7;11,58;953,35;26,48
2,334;11,232;6,548;720;688,5;22,75;136224,31;5613;19,7;11,58;953,3;26,48
2,328;11,145;6,566;720;688,5;22,75;136250,09;5613;19,7;11,58;953,31;26,48
2,332;11,16;6,57;720;688,5;22,75;136260,41;5613;19,7;11,58;953,32;26,48
2,34;11,353;6,555;718,75;688,75;22,25;136275,88;5616;19,7;11,59;953,33;26,46
2,333;11,34;6,555;720;689;22,75;136255,25;5616;19,7;11,59;953,27;26,46
2,334;11,005;6,559;719,75;688,75;22,75;136260,41;5616;19,7;11,59;953,33;26,46
2,333;11,268;6,555;720;688,75;23;136229,47;5616;19,7;11,59;953,32;26,48
2,329;11,088;6,563;719,75;688,5;22,5;136219,16;5616;19,7;11,59;953,29;26,46
2,33;11,111;6,548;720;688,75;23;136198,55;5628;19,7;11,61;953,29;26,48
2,333;10,941;6,559;720;688,5;23;136203,7;5628;19,7;11,61;953,29;26,48
2,327;11,153;6,552;719,75;688,75;23;136162,48;5628;19,7;11,61;953,35;26,48
2,323;10,835;6,563;719,75;688,75;23;136162,48;5628;19,7;11,61;953,31;26,48
2,326;11,033;6,566;719,75;688,75;23;136198,55;5628;19,7;11,61;953,3;26,48
2,323;11,173;6,552;719,75;688,75;23;136152,19;5628;19,7;11,61;953,32;26,46
2,327;11,141;6,559;719,75;688,75;23;136183,09;5628;19,49;11,49;953,29;26,46
2,328;10,978;6,552;720,25;688,5;23;136234,63;5628;19,49;11,49;953,29;26,48
2,322;11,352;6,563;720,25;688,5;23;136214;5628;19,49;11,49;953,32;26,48
2,33;11,241;6,559;720,5;688,5;23;136239,78;5628;19,49;11,49;953,26;26,46
2,328;10,924;6,559;720,5;688,5;23;136229,47;5628;19,49;11,49;953,27;26,48
2,327;10,989;6,559;720,5;688,5;23,25;136203,7;5614;19,91;11,7;953,3;26,48
2,33;10,972;6,552;720,75;688,25;23,25;136229,47;5614;19,91;11,7;953,28;26,41
2,33;11,154;6,566;720,75;688,5;23,25;136239,78;5614;19,91;11,7;953,28;26,46
2,335;11,204;6,566;720,75;688,5;23,25;136255,25;5614;19,91;11,7;953,32;26,48
