p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
1,048;0,825;1,44;675,5;639,75;16,75;43639,01;734;0,83;0,06;953,34;23,69
1,048;0,57;1,451;675,75;640;16,75;43640,59;734;0,83;0,06;953,38;23,74
1,045;0,757;1,455;675,75;640;16,5;43642,18;734;0,83;0,06;953,35;23,66
1,044;0,611;1,444;675,75;640;16,75;43611,52;734;0,83;0,06;953,4;23,69
1,048;0,52;1,444;675,5;639,5;16;43580,89;729;0,83;0,06;953,36;23,69
1,048;0,692;1,455;675,5;638,5;14,75;43544,52;729;0,83;0,06;953,36;23,69
1,048;0,763;1,462;675,25;639,25;15,25;43539,26;729;0,83;0,06;953,38;23,69
1,045;0,639;1,455;675,25;639;15,75;43556,11;729;0,83;0,06;953,37;23,69
1,048;0,648;1,469;675,25;639,75;16,5;43538,73;729;0,83;0,06;953,39;23,74
1,048;0,657;1,447;675,5;640;16,5;43528,73;729;0,83;0,06;953,39;23,74
1,048;0,754;1,444;675,25;639,75;16,5;43525,05;729;0,62;0,05;953,35;23,74
1,047;0,611;1,469;675,25;640;15,75;43536,63;729;0,62;0,05;953,31;23,74
1,048;0,524;1,451;675,5;639,75;15,5;43518,73;729;0,62;0,05;953,41;23,74
1,048;0,918;1,447;675,5;640;15,75;43513,47;729;0,62;0,05;953,36;23,74
1,044;0,559;1,458;675,5;640;15;43541,89;729;0,62;0,05;953,33;23,74
1,048;0,478;1,447;675,75;640,5;16,75;43557,7;724;0,62;0,05;953,38;23,74
1,048;0,662;1,44;676;640,75;16,75;43564,55;724;0,62;0,05;953,38;23,74
1,047;0,603;1,458;676,25;640,75;16,75;43578,26;724;0,62;0,05;953,38;23,74
1,046;0,832;1,458;676,5;641;16,75;43576,15;724;0,62;0,05;953,34;23,69
1,044;0,687;1,433;676,5;641;16,75;43606,23;724;0,62;0,05;953,37;23,69
1,048;0,387;1,444;676,75;641,25;16,75;43616,8;724;0,62;0,05;953,36;23,69
1,048;0,648;1,451;677;641,5;16,75;43608,88;726;0,83;0,06;953,39;23,69
1,047;0,691;1,455;677;641,5;16,75;43624,2;726;0,83;0,06;953,38;23,74
1,048;0,711;1,455;677;641,5;16,75;43608,35;726;0,83;0,06;953,37;23,74
1,045;0,774;1,444;677,25;641,5;16,75;43612,05;726;0,83;0,06;953,34;23,74
1,048;0,618;1,455;677;641,25;16,75;43619,97;726;0,83;0,06;953,38;23,74
1,048;0,684;1,451;677,25;641;15,5;43619,45;726;0,83;0,06;953,38;23,74
1,048;0,568;1,451;677;641,5;16,75;43611,52;726;0,83;0,06;953,34;23,74
1,048;0,398;1,462;677;641,25;16,5;43596,73;726;0,83;0,06;953,34;23,74
1,048;0,507;1,462;676,5;641;15,75;43618,91;726;0,83;0,06;953,41;23,74
1,048;0,785;1,447;676,75;641;16,5;43662,82;726;0,83;0,06;953,37;23,74
1,048;0,519;1,469;676,5;641,5;16,5;43704,17;726;0,83;0,06;953,38;23,66
1,048;0,654;1,458;676,75;642;16,75;43737,09;733;0,83;0,06;953,4;23,69
1,046;0,849;1,451;677,75;641,5;16,25;43720,63;733;0,83;0,06;953,38;23,69
1,044;0,563;1,477;677,5;642;16,5;43717,44;733;0,83;0,06;953,4;23,74
1,045;0,52;1,458;678;642;16,75;43707,36;733;0,83;0,06;953,36;23,69
1,048;0,816;1,455;677,5;641,75;16,75;43678,19;733;0,83;0,06;953,37;23,69
1,045;0,427;1,458;677,5;641,75;16,75;43670,77;733;0,83;0,06;953,43;23,76
1,048;0,635;1,477;677,5;641,75;16,75;43685,08;733;0,83;0,06;953,37;23,74
1,048;0,759;1,462;677,5;641,75;16,75;43655,95;733;0,83;0,06;953,37;23,76
1,044;0,704;1,451;677,5;641,75;16,75;43638,48;733;0,83;0,06;953,37;23,74
1,048;0,582;1,466;677,25;641,75;16,75;43630,02;733;0,83;0,06;953,35;23,74
1,047;0,649;1,455;677,25;641,5;16,75;43590,39;733;0,83;0,06;953,35;23,74
1,048;0,73;1,458;677;641,5;16,75;43549,27;746;0,62;0,05;953,39;23,74
1,048;0,569;1,462;677;641,25;16,75;43552,43;746;0,62;0,05;953,33;23,74
1,047;0,677;1,462;676,75;641,25;16,75;43537,68;746;0,62;0,05;953,39;23,69
1,048;0,665;1,466;677;641,25;16,75;43555,59;746;0,62;0,05;953,41;23,74
1,044;0,802;1,466;677,25;641,25;16,75;43563,49;746;0,62;0,05;953,38;23,76
1,048;0,754;1,48;677,25;641,5;16,75;43538,2;746;0,62;0,05;953,37;23,74
1,048;0,671;1,447;677;641,5;16,75;43544,52;746;0,62;0,05;953,35;23,74
1,044;0,74;1,466;677;641,5;16,75;43557,7;746;0,62;0,05;953,36;23,74
1,049;0,545;1,466;677,25;641,75;16,75;43581,42;746;0,62;0,05;953,4;23,74
1,048;0,563;1,447;677,5;642;16,75;43597,26;746;0,62;0,05;953,38;23,74
1,047;0,602;1,458;677,5;642;16,75;43600,43;746;0,62;0,05;953,43;23,74
1,048;0,759;1,473;678;642,25;16,75;43617,33;744;0,62;0,05;953,33;23,76
1,048;0,657;1,462;677,75;642,25;16,75;43605,71;744;0,62;0,05;953,38;23,74
1,048;0,759;1,462;678;642,25;16,75;43590,39;744;0,62;0,05;953,36;23,76
1,044;0,589;1,458;677,75;642,25;16,75;43570,35;744;0,62;0,05;953,38;23,74
1,048;0,726;1,466;677,5;642;16,75;43540,84;744;0,62;0,05;953,32;23,69
1,048;0,672;1,466;677,25;641,75;16,75;43524,52;744;0,62;0,05;953,41;23,74
1,044;0,583;1,462;677,25;641,75;16,75;43528,73;744;0,62;0,05;953,37;23,69
1,048;0,644;1,444;677;641,75;16,75;43535,05;744;0,62;0,05;953,39;23,76
1,048;0,718;1,466;677,5;641,75;16,75;43566,13;744;0,62;0,05;953,41;23,76
1,048;0,7;1,458;677,75;642;16,75;43545,58;744;0,62;0,05;953,41;23,74
1,044;0,501;1,455;677,75;641,75;16,75;43557,17;744;0,62;0,05;953,35;23,74
1,045;0,701;1,477;677,75;641,75;16,75;43543,47;740;0,62;0,05;953,4;23,76
1,048;0,682;1,451;677,75;641,75;16,75;43549,27;740;0,62;0,05;953,34;23,76
1,048;0,734;1,477;677,5;641,75;16,75;43557,7;740;0,62;0,05;953,38;23,76
1,048;0,833;1,466;677,5;641,75;16,75;43569,29;740;0,62;0,05;953,38;23,74
1,045;0,727;1,462;677,75;641,75;16,75;43575,62;740;0,62;0,05;953,35;23,74
1,048;0,682;1,466;677,75;641,75;16,75;43546,11;749;0,83;0,07;953,39;23,76
1,048;0,453;1,462;677,75;641,75;16,75;43562,44;749;0,83;0,07;953,38;23,76
