p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,333;11,076;6,584;715;688;20;136203,7;7007;14,72;10,8;953,27;25,28
2,332;11,101;6,577;714,75;688;20;136167,64;7007;14,72;10,8;953,2;25,3
2,327;11,367;6,57;714,75;688;20,25;136214;7007;14,72;10,8;953,29;25,28
2,33;11,355;6,581;715;688;20,25;136255,25;7007;14,72;10,8;953,27;25,3
2,327;11,319;6,57;715;688,25;20,25;136234,63;7007;14,93;10,96;953,23;25,3
2,327;11,209;6,555;715;688;20,25;136250,09;7007;14,93;10,96;953,26;25,28
2,327;11,055;6,581;714,75;688,25;20,25;136281,03;7007;14,93;10,96;953,27;25,3
2,334;11,336;6,588;715;688,5;20,25;136353,31;7007;14,93;10,96;953,26;25,33
2,333;11,297;6,566;715,25;688,25;20,25;136332,66;7007;14,93;10,96;953,26;25,3
2,335;11,28;6,577;715,25;688,25;20,25;136322,33;7007;14,93;10,96;953,28;25,33
2,327;11,271;6,573;715,25;688;20,5;136317,16;7017;14,93;10,97;953,24;25,28
2,333;11,24;6,57;715,25;687,75;20,5;136275,88;7017;14,93;10,97;953,28;25,3
2,335;11,311;6,573;715,25;687,75;20,5;136250,09;7017;14,93;10,97;953,27;25,28
2,333;11,228;6,563;715,25;687,75;20,25;136275,88;7017;14,93;10,97;953,26;25,3
2,334;11,212;6,584;715,25;687,75;20,5;136275,88;7017;14,93;10,97;953,28;25,28
2,333;11,28;6,592;715,25;687,75;20,5;136291,36;7023;15,55;11,44;953,27;25,28
2,332;11,486;6,57;715;687,75;20,5;136281,03;7023;15,55;11,44;953,28;25,3
2,33;11,002;6,573;715;688;20,25;136265,56;7023;15,55;11,44;953,26;25,3
2,331;11,098;6,581;715;687,75;20,5;136275,88;7023;15,55;11,44;953,24;25,28
2,327;11,271;6,577;715;687,75;20,25;136265,56;7023;15,55;11,44;953,28;25,28
2,331;11,3;6,57;715;688;20,25;136270,72;7023;15,55;11,44;953,25;25,28
2,334;11,322;6,573;715;688;20,25;136291,36;7023;15,14;11,13;953,27;25,3
2,335;11,148;6,563;715;687,75;20,25;136270,72;7023;15,14;11,13;953,22;25,33
2,33;11,271;6,566;715;687,75;20,25;136270,72;7023;15,14;11,13;953,25;25,3
2,33;11,113;6,566;715,25;687,75;20,25;136301,67;7023;15,14;11,13;953,24;25,3
2,331;11,313;6,57;715,25;687,75;20,25;136353,31;7023;15,14;11,13;953,3;25,3
2,332;11,117;6,57;715,25;687,75;20,25;136373,97;6971;14,93;10,9;953,24;25,3
2,331;11,086;6,573;715,25;687,75;20,25;136384,31;6971;14,93;10,9;953,25;25,33
2,33;11,253;6,552;715,25;688;20,25;136394,64;6971;14,93;10,9;953,19;25,3
2,337;11,057;6,566;715,25;688;20,25;136363,64;6971;14,93;10,9;953,28;25,3
2,33;11,333;6,566;715,25;688;20;136363,64;6971;14,93;10,9;953,31;25,28
2,328;11,328;6,555;715,25;688;20;136312;6971;14,93;10,9;953,23;25,28
2,331;11,122;6,57;715,25;687,75;20;136306,84;6971;15,14;11,05;953,27;25,28
2,327;11,449;6,566;715,25;687,75;20;136332,66;6971;15,14;11,05;953,29;25,3
2,33;11,467;6,555;715;688;20;136296,52;6971;15,14;11,05;953,26;25,3
2,325;11,699;6,573;715;688;20;136337,81;6971;15,14;11,05;953,27;25,3
2,33;11,406;6,563;715;688;20;136296,52;6971;15,14;11,05;953,25;25,3
2,327;10,98;6,559;715;688;20;136291,36;6977;15,35;11,21;953,27;25,3
2,33;11,207;6,563;714,75;688;20;136291,36;6977;15,35;11,21;953,25;25,3
2,336;11,371;6,57;715;688;20;136322,33;6977;15,35;11,21;953,24;25,28
2,33;11,514;6,559;715;688;20;136332,66;6977;15,35;11,21;953,26;25,3
2,333;11,265;6,563;715;688,25;20;136317,16;6977;15,35;11,21;953,23;25,3
2,333;11,367;6,552;715;688,25;20;136317,16;6977;15,35;11,21;953,28;25,33
2,331;11,358;6,566;715;688,25;20;136270,72;6977;14,93;10,91;953,25;25,3
2,33;11,043;6,559;715;688;20;136229,47;6977;14,93;10,91;953,24;25,3
2,332;11,13;6,57;714,75;687,75;20;136260,41;6977;14,93;10,91;953,26;25,3
2,329;10,969;6,559;714,75;687,75;20;136224,31;6977;14,93;10,91;953,29;25,3
2,323;11,043;6,566;714,75;687,75;20;136234,63;6977;14,93;10,91;953,25;25,3
2,327;10,986;6,57;714,75;687,75;20;136193,39;7001;15,35;11,25;953,28;25,3
2,33;11,328;6,555;714,5;687,75;20;136198,55;7001;15,35;11,25;953,23;25,3
2,329;11,47;6,563;714,25;687,75;20;136229,47;7001;15,35;11,25;953,25;25,3
2,327;11,383;6,552;714,5;688;20;136208,84;7001;15,35;11,25;953,29;25,33
2,33;11,026;6,552;714,5;688;20;136203,7;7001;15,35;11,25;953,26;25,3
2,333;11,167;6,566;714,5;688;20;136224,31;7001;15,35;11,25;953,27;25,3
2,327;11,455;6,57;714,25;688;20;136229,47;7007;14,93;10,96;953,31;25,3
2,331;11,145;6,57;714,25;688;20;136244,94;7007;14,93;10,96;953,21;25,3
2,327;11,191;6,57;714,25;688;20;136214;7007;14,93;10,96;953,24;25,33
2,327;11,299;6,563;714;688;20,25;136214;7007;14,93;10,96;953,31;25,3
2,327;11,153;6,559;714;688;20,25;136234,63;7007;14,93;10,96;953,29;25,3
2,324;11,108;6,566;714,25;687,75;20,25;136281,03;7007;14,72;10,8;953,26;25,3
2,33;11,229;6,548;714,25;687,75;20,25;136239,78;7007;14,72;10,8;953,26;25,3
2,33;11,3;6,544;714,5;687,5;20,25;136229,47;7007;14,72;10,8;953,29;25,3
2,33;11,411;6,57;714,5;687,75;20,25;136286,2;7007;14,72;10,8;953,28;25,3
2,33;10,962;6,563;714,5;688;20,25;136265,56;7007;14,72;10,8;953,27;25,3
2,327;11,113;6,555;714,5;688;20,25;136229,47;7007;14,72;10,8;953,3;25,3
2,333;11,144;6,563;714,5;687,75;20,25;136229,47;6999;15,14;11,1;953,23;25,3
2,327;11,201;6,552;714,25;688;20,25;136239,78;6999;15,14;11,1;953,28;25,33
2,327;11,216;6,555;714,25;688;20,25;136234,63;6999;15,14;11,1;953,24;25,3
2,331;11,16;6,57;714,25;688;20,25;136162,48;6999;15,14;11,1;953,34;25,28
2,327;11,271;6,559;714,25;687,75;20,25;136183,09;6999;15,14;11,1;953,28;25,3
2,327;11,278;6,566;714,5;687,75;20,25;136147,05;6999;15,55;11,4;953,25;25,3
2,33;11,293;6,559;714,5;687,5;20,25;136126,45;6999;15,55;11,4;953,26;25,3
2,33;11,104;6,552;714,5;687,5;20,25;136126,45;6999;15,55;11,4;953,29;25,3
2,331;11,039;6,559;714,5;687,5;20,25;136147,05;6999;15,55;11,4;953,31;25,33
2,327;11,207;6,555;714,75;687,5;20,25;136126,45;6999;15,55;11,4;953,32;25,3
2,321;11,232;6,544;714,75;687,5;20;135987,61;6999;15,55;11,4;953,23;25,3
2,326;11,353;6,541;714,25;687,25;20;136059,56;6960;15,14;11,03;953,23;25,3
2,328;11,269;6,548;714,5;687,5;20;136105,86;6960;15,14;11,03;953,27;25,3
2,326;11,197;6,541;714,5;687,5;20;136172,78;6960;15,14;11,03;953,3;25,3
